run_id,stream,file,create_utc,write_utc,bytes
20260714.112046,ForwardRight,000000246000.jpg,2026-07-14T15:29:10.973Z,2026-07-14T15:29:10.973Z,522755
20260714.112046,ForwardRight,000000246500.jpg,2026-07-14T15:29:11.445Z,2026-07-14T15:29:11.448Z,516988
20260714.112046,ForwardRight,000000247000.jpg,2026-07-14T15:29:11.944Z,2026-07-14T15:29:11.949Z,516582
20260714.112046,ForwardRight,000000247500.jpg,2026-07-14T15:29:12.491Z,2026-07-14T15:29:12.491Z,518686
20260714.112046,ForwardRight,000000248000.jpg,2026-07-14T15:29:13.152Z,2026-07-14T15:29:13.157Z,526673
20260714.112046,ForwardRight,000000248500.jpg,2026-07-14T15:29:14.074Z,2026-07-14T15:29:14.081Z,537124
20260714.112046,ForwardRight,000000249000.jpg,2026-07-14T15:29:14.868Z,2026-07-14T15:29:14.868Z,576272
20260714.112046,ForwardRight,000000249500.jpg,2026-07-14T15:29:15.474Z,2026-07-14T15:29:15.477Z,610632
20260714.112046,ForwardRight,000000250000.jpg,2026-07-14T15:29:16.005Z,2026-07-14T15:29:16.005Z,611789
20260714.112046,ForwardRight,000000250500.jpg,2026-07-14T15:29:16.582Z,2026-07-14T15:29:16.582Z,611687
20260714.112046,ForwardRight,000000251000.jpg,2026-07-14T15:29:17.068Z,2026-07-14T15:29:17.068Z,645443
20260714.112046,ForwardRight,000000251500.jpg,2026-07-14T15:29:17.333Z,2026-07-14T15:29:17.335Z,638364
20260714.112046,ForwardRight,000000252000.jpg,2026-07-14T15:29:17.603Z,2026-07-14T15:29:17.603Z,623936
20260714.112046,ForwardRight,000000252500.jpg,2026-07-14T15:29:22.823Z,2026-07-14T15:29:22.823Z,537897
20260714.112046,ForwardRight,000000253000.jpg,2026-07-14T15:29:23.333Z,2026-07-14T15:29:23.337Z,536178
20260714.112046,ForwardRight,000000253500.jpg,2026-07-14T15:29:24.132Z,2026-07-14T15:29:24.136Z,534669
